loss,accuracy,f1_score,recall,val_loss,val_accuracy,val_f1_score,val_recall
1.138640284538269,0.7028340697288513,0.7034098505973816,0.6209796071052551,4.055599689483643,0.15034964680671692,0.06297323107719421,0.08194930106401443
0.591428279876709,0.8335062265396118,0.8333878517150879,0.7994866967201233,1.631123423576355,0.6003059148788452,0.5939956903457642,0.5635926723480225
0.32108932733535767,0.8937913179397583,0.8938019275665283,0.8737508654594421,0.9239703416824341,0.7698863744735718,0.7733556032180786,0.7563374042510986
0.30702459812164307,0.8970130681991577,0.8972011208534241,0.8787200450897217,0.6409293413162231,0.810751736164093,0.8032656908035278,0.78125
0.2741352617740631,0.9070605635643005,0.9074949622154236,0.8899142742156982,0.28121528029441833,0.9101835489273071,0.9092411994934082,0.8959790468215942
0.2906250059604645,0.9079342484474182,0.9082154035568237,0.8920438885688782,0.6398782134056091,0.7969842553138733,0.8002768754959106,0.7725087404251099
0.29299384355545044,0.9108829498291016,0.910913348197937,0.897340714931488,0.40743815898895264,0.870192289352417,0.8691917657852173,0.8603584170341492
0.28224995732307434,0.9094086289405823,0.9093512296676636,0.8981051445007324,19.968353271484375,0.17220279574394226,0.10605918616056442,0.17089161276817322
0.35206061601638794,0.8904603123664856,0.8903099894523621,0.8752252459526062,6.23805046081543,0.8037587404251099,0.8075711727142334,0.7952359914779663
0.21550440788269043,0.9346911907196045,0.9346616864204407,0.9303227066993713,2.640446424484253,0.6781031489372253,0.68406081199646,0.6715471744537354
0.18245312571525574,0.9436466097831726,0.9436100125312805,0.9388958811759949,1.3328338861465454,0.7395104765892029,0.7304369211196899,0.7250874042510986
0.25346505641937256,0.9234423637390137,0.9234658479690552,0.9142685532569885,0.47160351276397705,0.871503472328186,0.8722166419029236,0.8568618893623352
0.17634953558444977,0.9415715336799622,0.9415501952171326,0.9345273971557617,0.7951711416244507,0.8085664510726929,0.8051868677139282,0.7969842553138733
0.13429789245128632,0.9563698172569275,0.9563411474227905,0.952601969242096,3.1100382804870605,0.5926573276519775,0.5756660103797913,0.5821678042411804
0.1783047616481781,0.9445748925209045,0.9445747137069702,0.9405340552330017,0.52286696434021,0.8662587404251099,0.8664894104003906,0.8599213361740112
